text,label,notes
"The Bielsa cycle is truly inevitable. He can be great if rigid tactically but at a certain point players stop responding to him. It also doesn't help that his style is so taxing physically",analysis,""
"It ain't just TV revenue with them. Spurs are printing money with their new stadium as well as all the concerts and alternative sports they host. The real surprise to me is that they didn't go wild sooner. Because maybe that would have convinced Kane to stay.",analysis,""
"FIFA isn't going to stop doing something that makes them money because some fans complained online and then tuned in anyway",analysis,""
"Spain's play is not caricatural. Spain has played against two teams who went in with a draw mentality. Cabo Verde literally parked everybody for 90 minutes inside their area. Saudi Arabia is what happens when the weaker team does not automatically park the full bus: Spain just plays around them for 3 goals in 10 minutes.",analysis,""
"For Galatasaray and Fenerbahce specifically their revenue-to-wage ranks are comparable to clubs around the same financial level. Like for the 2024-25 season Gala had the 21st highest revenue and Fener were 28th in the wage bill table Gala were 25th. The thing is these clubs have a completely imbalanced wage bill there's like 2 players earning 10-15m while other players are in the 3-6m range.",analysis,""
"Cape Verde has not lost an official match in like 2 years and we've played like this every game since the Copa América it's just that people don't watch much football",analysis,""
"Both teams were gassed and also terrible at defending counter attacks it's the perfect recipe for a nail biter",analysis,""
"Playing Muslera is also Bielsa's decision. Either way Muslera is not the only reason they are in this position they are really unimpressive upfront and they are really vulnerable in counter attacks",analysis,""
"I feel like injury time is being treated very oddly this WC. They add loads on because of the hydration breaks but they're very keen to end a game the second that the injury time is up even if an attack is on or incidents have occurred within the injury time.",analysis,""
"After the first game I was impressed at the resilience of Cabo Verde because their strategy of parking the bus has been tried many times against Spain. However after seeing them play against Uruguay now I consider them actually pretty decent. What they have shown today is that they do not rely on luck to get a draw but they actually know how to attack and score.",analysis,""
"In fairness referees ending the game way too soon has been consistent in every game. Game was stopped for like half the stoppage time in Germany vs Ivory Coast and he blew it less than a minute over the initial time.",analysis,""
"They basically did at the 2018 World Cup then like most of these rule changes forgot about it soon",analysis,"short but cites historical precedent"
"I think its obviously their leader funneling state money in to the top clubs so the nation can appear more successful to its people",analysis,""
"Since 2000 Australia only failed to beat NZ once in 13 matches. In terms of current generation we played a couple friendlies in September and Australia won both",analysis,""
"They could if they wanted to get sued afterwards by the broadcasters",analysis,"short but provides a specific causal reason"
"It's happened before in this type of format but is very rare. Uruguay probably need a point.",analysis,""
"They'd be level on points goals scored and head to head - those are not breaking that tie so it goes to fair play rankings.",analysis,""
"People always think old goalkeepers who've been around for ages at their NT are cool. Bonus points if they stick with the same club as well like Muslera.",analysis,""
"I've noticed that too. BBC commentary was still talking about the free kick after the whistle had been blown and not the first time I've seen that happen. They're definitely ending games when they normally wouldn't be.",analysis,""
"Yeah Cape Verde are legit. I watch AFCON and they're an absolute thorn in the side of the bigger african sides but I didn't know their style of play would translate to the world cup as well as it has",analysis,""
"It's still a historical upset though. First time qualifier beating a two-time winner will always be a big deal",analysis,""
"I'm not a huge fan of the format with most of the 3rd place teams going through but I love the inclusion of more nations that might not have made it otherwise.",analysis,"borderline - no data but makes a nuanced trade-off"
"He should've definitely gotten a hand in the first goal but that shot had absolutely no business going through the wall in the first place. Ugarte literally dodged the ball",analysis,""
"Shooting with power and placement at the same time is difficult.",analysis,"short but provides a specific explanation"
"Because playing football at this speed and intensity is a lot harder than it looks on telly",analysis,""
"They've only had 2 yellow cards Cabo Verde had 3",analysis,"cites specific stat to answer a question"
"Belgium was really handed the easiest group with crappiest teams and the easiest route to the QF but decided to eat crayons instead",hot_take,""
"Cape verde are the peoples champion",hot_take,""
"Muslera should not play a single minute of football after this match for club or country. Should retire as soon as possible. Shouldn't even be on the bench against Spain but for some reason he's starting games. The whole country knows he's finished except Bielsa",hot_take,""
"Most overrated manager on the planet but we'll have to continue hearing about how he's one of the greatest of all time when he guides Girona to a 12th place finish or something after this",hot_take,""
"Forget manager I can't imagine there's a more overrated person anywhere in sport. Like this is a genuinely shit manager who some people will put up alongside the absolute greats",hot_take,""
"Spain will obliterate us you don't get it we should be ranked like 50th or lower in the FIFA rankings",hot_take,""
"Going through on FIFA rankings has to be the most unfair way of qualifying I can think of",hot_take,""
"To go from Suarez Cavani and older Forlan to Darwin Nuñez is truly terrible",hot_take,""
"I believe only France and Argentina are glorious teams from the past still responding to the hype of their predecessor and playing at high level along with new gen great teams like Japan and Morocco.",hot_take,""
"Anyway credit to Bielsa he's put together a truly embarrassing team here. Should have been an easy 2nd place instead they're almost certainly getting grouped.",hot_take,""
"I just met some Brits on holiday. I can't say it enough. I feel it in my heart and bones. I really think it's coming home this year. COME ON ENGLAND",hot_take,""
"Nothing can stop this Cape Verde super team. Unbelievable stuff from them man",hot_take,""
"Cape Verde should have tried to win the game.",hot_take,""
"Muslera has literally killed Uruguay's campaign. I have no idea why is he playing.",hot_take,""
"Spain finishes 2nd and KO's Argentina in the round of 32 who says no?",hot_take,"rhetorical question = hot_take"
"Uruguay vs Spain will be must watch tv. Spain has to play their starters and Uruguay is forced to win",hot_take,""
"I get that it's because most people don't watch their games but it's still mad that they treat this as a massive upset Uruguay is horrendous and Cape Verde are clearly not that bad. If anything this was one of their better matches recently",hot_take,"borderline - has a reason but reasoning is vague not specific"
"Booing the commercial breaks needs to be normalized. I think England did it first during their game either way good.",hot_take,""
"He should retire within the next five minutes if he had any shame.",hot_take,""
"They're minnows compared to even a Costa Rica. To go undefeated in a group containing Uruguay and Spain is nuts. It's a group of islands ffs",hot_take,""
"They're a nation of 500000 people. This is insane",hot_take,""
"It's crazy that some people don't want these small teams at the World Cup. Turns out the World Cup is better for having teams besides the European giants and Brazil and Argentina.",hot_take,""
"Uruguay's team was generational but this isn't 2010 anymore. I'm not sure why they are so highly regarded.",hot_take,""
"Besides Neymar Brazil have been lacking skillful players for well over a decade now.",hot_take,""
"That was one of the best games of the tournament so far feel bad for anyone that decided to go to bed.",hot_take,""
"This World Cup is a signal for me to reset my presumptions about many footballing countries because many of them are not what they're known for 10 and 20 years ago. Germany's pressing is meh Brazil's technique is just standard Uruguay mentality doesn't exist.",hot_take,"borderline - lists observations but no supporting data"
"Darwin was such a threat from the bench. I don't understand why he didn't start.",hot_take,""
"So reports are suggesting Spurs are in for both Tonali and Fernandes? For 85M and 100M respectively? The PL has gone too far. Can't have perennial relegation candidates outspending just about every other club in the world.",hot_take,""
"It's insane I love watching these smaller nations play gotta back the underdogs",hot_take,""
"Muslera hasn't stopped a long shot with Uruguay like ever. I'm surprised teams don't exploit that.",hot_take,""
"Bielsa played a finished Batistuta over a prime Crespo",hot_take,""
"I sense another star added to Uruguay's crest coming. Maybe 2.",hot_take,""
"If Spain loses against Uruguay then they have zero chance against Argentina.",hot_take,""
"If Argentina loses to Saudi Arabia then they have zero chance against France",hot_take,""
"Don't worry one day their financial gambling will come back to haunt them when they've got to pay 100 million to the bankers every year whilst playing Lincoln City in league one",hot_take,""
"The only reason to have the event in the USA is to sell advertising",hot_take,""
"Germany press very well. Spain also circulate possession the best in the world.",hot_take,"short bold claim no evidence"
"Anybody have a clip of that Uruguay foul that should've been a red card? Cabo Verde were on a breakaway and the last defender fouled them.",question,""
"Given that Turkey lost to Australia does that mean if Australia loses to Paraguay they'll still go through?",question,""
"What happens in the 0.0001% chance of group G getting 3 draws with the same GF GA and GD?",question,""
"How is everyone liking the expansion to 48 teams so far?",question,""
"Is New Zealand better than Australia? They certainly seem to play better football",question,"ends with opinion but primary purpose is asking"
"Given the fan backlash to the hydration and ad breaks could FIFA just abolish them for the knockout finals rounds?",question,""
"Can anyone tell me why even the biggest stars yeet the ball 10 feet over the goal so often? Why don't they just kick it lower?",question,""
"Is it possible to be top 8 with only 2 points? Do Uruguay need a point against Spain?",question,""
"Watch all of New Zealand v Egypt or watch House of the Dragon and the last half hour of New Zealand v Egypt?",question,""
"How are Uruguay ahead of Cape Verde on fair play?",question,""
"Can anyone explain how Turkish clubs can offer such massive wages to players? It's always puzzled me no disrespect to the clubs or their fans",question,""
"Is Germany vs Ivory Coast the game with the combined highest level of play so far? I'm sad I missed New Zealand vs Iran people are saying that was the most entertaining.",question,""
"So not every 3rd place team makes it?",question,""
"How is it that low ranking nations can play from the back and have good build up but you don't see low ranking league football teams do the same?",question,""
"What's with the final whistle being so anticlimactic and confusing this world cup? Loads of games the ref blows once then waits 5 seconds and blows two more times and people are just confused",question,""
"Think Watkins played on the Right Wing because the Arsenal lads arent ready yet. They joined the group later due to the CL final and the parade. Both the RW options are from Arsenal thats why you saw Watkins and Ngumoha play there instead tonight.",analysis,""
"That was a light training session you cant see anything from these friendlies Spain France and NL all failed to win their friendlies also",analysis,""
"Watkins shouldve been given this half as striker in place of Toney. Not because the scoreline needed it but because Watkins is better than Toney especially with his prem form as of late that got him on the plane. Watkins deserved to play in his position instead of being a winger",analysis,""
"Poor 45 mins from Toney missed a sitter plus miles offside plus dived for a peno in a friendly and was offside anyway",analysis,""
"Play a Saudi league player and expect Saudi league level performances. But he is used to the heat though",analysis,""
"I wonder if him not being in the WC squad helps a lot. He doesnt have to manage himself at all just go all out because hes on holiday next week",analysis,""
"Can tell Gordon hasnt played in a while looks really rusty. Would start him against Costa Rica so he can get some more minutes in his legs",analysis,""
"Its a friendly a week before the WC starts. I dont think anyones expecting either team to be giving it 100 percent.",analysis,""
"He was but the fact he got subbed off together with Tagliafico the only starter playing today could mean the coach sees him as a player that will get many minutes.",analysis,""
"They get to play as a thank you and it reduces unnecessary playing time for those who will actually play next week.",analysis,""
"I hate this type of games cause you can obviously tell the players are cruising. They dont want to get in any risky challenges and risk injuries so close to the tournament so they just look sloppy trying to get rid of the ball quick",analysis,""
"Almada is a number 10 and a bit of a lightweight and not the quickest. His best moments arent coming on the left wing. Giuliano Ive seen beat a man 1v1 only once in the last two years. Garnacho is the only one with pace to beat a man 1v1 both ways and also has a passing range with a decent cross on him.",analysis,""
"I seriously think that in his 8 international games Garnacho didnt beat a single defender in 1v1s. Almada at least scored a great goal in Uruguay.",analysis,""
"Oh yeah like the Argentina that beat Brazil 4-1. Overreactions all over this thread.",analysis,""
"No point risking an injury plus second yellow.",analysis,"short but gives specific reasoning"
"To be fair hes being played out of position. His strength is to make runs in behind from the right and finish at the far post or cross it to a striker not cutting in and dribbling from the left.",analysis,""
"He typically gets saddled with the boring tag for Argentina and these roles dont help that image but really he just does his job and does it neatly",analysis,""
"Simeones playing in a weird role hes not the kind of wide player to cut in",analysis,""
"I wouldnt risk him for a friendly. Also hes been healing from a minor muscle issue so nope.",analysis,""
"Hes not necessarily washed but he does look like hes in thick mud whenever he tries to run.",analysis,""
"Pitch looked like a cabbage patch. Also England are in real real trouble when Harry Kane retires.",hot_take,""
"Tuchel will get his boys humming. England will be very scary this tournament",hot_take,""
"Doesnt make me feel fantastic about England",hot_take,""
"Well that was a waste of 2 hours. A training match which lived up to its billing.",hot_take,""
"That felt like a slog to watch",hot_take,""
"That was definitely one of the matches of all time",hot_take,"ironic/sarcastic"
"Nice warm up. No injuries. Rio got his first cap. Job done really. One more practice game and then its showtime.",hot_take,""
"Most exciting bit of the game has been when they cut to the fake pirate ship",hot_take,""
"If Kane drops a game its not coming home lmao",hot_take,""
"Toney is a donkey",hot_take,""
"That was diabolical from Toney...",hot_take,""
"Can't believe a lad whos been playing at the level of Sunday league looks like a shit pick",hot_take,""
"England are so incredibly hard to watch under Tuchel",hot_take,""
"Regardless of being rotated this England squad looks like rubbish",hot_take,""
"I have seen enough. Rio should take the second LW option over Gordon",hot_take,""
"Great to see a young English kid with a bit of flair in Rio. Ill remember this fondly when hes 25 and passing it sideways as all the fun is coached out of him",hot_take,""
"Still mad to think Tuchel didnt pick Maguire could use his long range passing in this game",hot_take,""
"I can say with zero hyperbole that Lee Dixon is the worst co-commentator in football and its not like there isnt tons of competition for that.",hot_take,""
"I feel tommy gonna get them to that final they better pray kane dont get injured though",hot_take,""
"The left wing is absolutely dead i dont know how Buendia doesnt get in the freaking squad",hot_take,""
"Almada over Buendia could cost Argentina when it matters the most",hot_take,""
